datetime,open,high,low,close,volume
2021-09-10 00:01:00,46999.99,47035.39,46988.0,47005.2,229.278
2021-09-10 00:02:00,47005.19,47005.19,46980.0,46993.5,50.984
2021-09-10 00:03:00,46993.49,47008.0,46968.01,46997.0,51.407
2021-09-10 00:04:00,46996.99,46997.0,46967.86,46976.06,60.295
2021-09-10 00:05:00,46976.05,46976.05,46932.09,46935.34,84.203
2021-09-10 00:06:00,46935.33,46938.92,46868.0,46869.99,400.462
2021-09-10 00:07:00,46869.99,46912.45,46852.01,46884.74,484.639
2021-09-10 00:08:00,46884.73,46884.73,46682.0,46698.76,1642.915
2021-09-10 00:09:00,46698.76,46792.31,46694.97,46758.31,664.492
2021-09-10 00:10:00,46756.93,46829.15,46752.42,46810.4,365.104
2021-09-10 00:11:00,46810.4,46850.0,46808.18,46828.0,300.448
2021-09-10 00:12:00,46827.99,46876.91,46825.03,46851.21,192.996
2021-09-10 00:13:00,46851.21,46921.64,46851.21,46915.98,274.886
2021-09-10 00:14:00,46915.98,46989.25,46915.98,46989.25,210.501
2021-09-10 00:15:00,46989.25,47049.0,46933.02,46943.31,576.521
2021-09-10 00:16:00,46943.63,47002.81,46867.1,47001.09,369.812
2021-09-10 00:17:00,47001.09,47045.55,46960.0,46990.47,344.455
2021-09-10 00:18:00,46990.47,46997.01,46914.43,46949.99,104.911
2021-09-10 00:19:00,46949.99,46952.3,46909.04,46935.46,74.333
2021-09-10 00:20:00,46935.46,46935.46,46875.0,46889.54,107.568
2021-09-10 00:21:00,46889.55,46897.26,46857.03,46876.45,152.522
2021-09-10 00:22:00,46876.46,46899.02,46844.43,46844.44,140.546
2021-09-10 00:23:00,46844.44,46895.85,46844.43,46891.34,132.154
2021-09-10 00:24:00,46891.34,46925.71,46886.78,46901.39,93.581
2021-09-10 00:25:00,46900.32,46906.25,46858.7,46890.03,136.781
2021-09-10 00:26:00,46890.01,46890.01,46852.48,46866.02,94.849
2021-09-10 00:27:00,46866.01,46910.79,46861.11,46880.03,110.903
2021-09-10 00:28:00,46880.03,46902.01,46861.99,46872.81,105.523
2021-09-10 00:29:00,46872.81,46884.14,46872.8,46873.36,27.055
